reading_id,shipment_id,cargo_type,temperature_c,humidity_pct,ethylene_ppm,vibration_g,transit_duration_hours,excursion_duration_mins,spoilage_risk_score,status
READ-1057,CG-10433,Milk,10.8,82.0,5.4,0.85,10.5,75,85.2,CRITICAL
READ-1058,CG-10433,Milk,11.9,83.5,6.5,0.92,11.0,90,91.0,CRITICAL
READ-1059,CG-10433,Milk,13.0,85.0,7.8,1.00,11.5,105,96.2,CRITICAL
READ-1060,CG-10450,Milk,3.1,66.0,0.8,0.30,1.0,0,5.2,HEALTHY
READ-1061,CG-10450,Milk,3.3,66.8,0.9,0.32,1.5,0,5.9,HEALTHY
READ-1062,CG-10450,Milk,3.5,67.2,1.0,0.34,2.0,0,6.4,HEALTHY
READ-1063,CG-10450,Milk,3.7,67.9,1.1,0.36,2.5,0,7.0,HEALTHY
READ-1064,CG-10450,Milk,3.9,68.5,1.1,0.38,3.0,0,7.5,HEALTHY
READ-1065,CG-10450,Milk,4.0,68.9,1.2,0.39,3.5,0,7.9,HEALTHY
READ-1066,CG-10450,Milk,4.2,69.5,1.3,0.41,4.0,0,8.4,HEALTHY
READ-1067,CG-10450,Milk,4.4,70.1,1.4,0.43,4.5,0,9.0,HEALTHY
READ-1068,CG-10450,Milk,4.6,70.8,1.5,0.45,5.0,0,9.6,HEALTHY
READ-1069,CG-10450,Milk,4.8,71.2,1.6,0.47,5.5,0,10.2,HEALTHY
READ-1070,CG-10450,Milk,5.1,72.0,1.7,0.49,6.0,0,11.8,HEALTHY
READ-1071,CG-10450,Milk,5.4,72.6,1.9,0.51,6.5,0,13.0,HEALTHY
READ-1072,CG-10450,Milk,5.8,73.5,2.1,0.54,7.0,0,14.8,HEALTHY
READ-1073,CG-10450,Milk,6.3,74.8,2.4,0.57,7.5,10,35.0,AT_RISK
READ-1074,CG-10450,Milk,7.0,76.2,2.8,0.61,8.0,25,49.0,AT_RISK
READ-1075,CG-10450,Milk,7.9,78.0,3.4,0.68,8.5,40,61.5,AT_RISK
READ-1076,CG-10450,Milk,8.9,79.8,4.1,0.76,9.0,55,73.2,CRITICAL
READ-1077,CG-10450,Milk,10.2,81.5,5.1,0.83,9.5,70,82.5,CRITICAL
READ-1078,CG-10450,Milk,11.5,83.0,6.2,0.90,10.0,85,89.0,CRITICAL
READ-1079,CG-10450,Milk,12.6,84.5,7.4,0.98,10.5,100,94.8,CRITICAL
READ-1080,CG-10471,Milk,3.0,65.8,0.8,0.31,1.0,0,5.0,HEALTHY
READ-1081,CG-10471,Milk,3.2,66.2,0.9,0.33,1.5,0,5.5,HEALTHY
READ-1082,CG-10471,Milk,3.4,66.9,1.0,0.35,2.0,0,6.1,HEALTHY
READ-1083,CG-10471,Milk,3.6,67.5,1.0,0.36,2.5,0,6.6,HEALTHY
READ-1084,CG-10471,Milk,3.8,68.0,1.1,0.38,3.0,0,7.1,HEALTHY
READ-1085,CG-10471,Milk,4.0,68.8,1.2,0.40,3.5,0,7.8,HEALTHY
READ-1086,CG-10471,Milk,4.1,69.1,1.2,0.41,4.0,0,8.2,HEALTHY
READ-1087,CG-10471,Milk,4.3,69.6,1.3,0.42,4.5,0,8.7,HEALTHY
READ-1088,CG-10471,Milk,4.5,70.2,1.4,0.44,5.0,0,9.3,HEALTHY
READ-1089,CG-10471,Milk,4.7,70.9,1.5,0.46,5.5,0,10.0,HEALTHY
READ-1090,CG-10471,Milk,4.9,71.5,1.6,0.48,6.0,0,10.8,HEALTHY
READ-1091,CG-10471,Milk,5.2,72.2,1.8,0.50,6.5,0,12.2,HEALTHY
READ-1092,CG-10471,Milk,5.6,73.0,2.0,0.53,7.0,0,14.0,HEALTHY
READ-1093,CG-10471,Milk,6.0,73.9,2.2,0.55,7.5,0,16.5,HEALTHY
READ-1094,CG-10471,Milk,6.6,75.1,2.5,0.59,8.0,15,42.0,AT_RISK
READ-1095,CG-10471,Milk,7.4,76.8,2.9,0.64,8.5,30,54.2,AT_RISK
READ-1096,CG-10471,Milk,8.5,78.9,3.6,0.72,9.0,45,67.8,AT_RISK
READ-1097,CG-10471,Milk,9.8,80.8,4.6,0.80,9.5,60,79.5,CRITICAL
READ-1098,CG-10471,Milk,11.1,82.5,5.8,0.88,10.0,75,86.4,CRITICAL
READ-1099,CG-10471,Milk,12.4,84.0,7.1,0.96,10.5,90,93.2,CRITICAL
